Randolph,35,Goalkeeper,Ireland,AFCBournemouth,0.5
Zabarnyi,20,Centre-Back,Ukraine,AFCBournemouth,18
Senesi,25,Centre-Back,Argentina,AFCBournemouth,17
Kelly,24,Centre-Back,England,AFCBournemouth,15
Mepham,25,Centre-Back,Wales,AFCBournemouth,6
Stephens,29,Centre-Back,England,AFCBournemouth,5
Viña,25,Left-Back,Uruguay,AFCBournemouth,6
Zemura,23,Left-Back,Zimbabwe,AFCBournemouth,4
Stacey,26,Right-Back,England,AFCBournemouth,3
Fredericks,30,Right-Back,England,AFCBournemouth,2
Smith,31,Right-Back,England,AFCBournemouth,1.5
Lerma,28,DefensiveMidfield,Colombia,AFCBournemouth,15
Billing,26,CentralMidfield,Denmark,AFCBournemouth,18
Tavernier,23,CentralMidfield,England,AFCBournemouth,15
Cook,26,CentralMidfield,England,AFCBournemouth,10
